Game,GameInfo,Date_x,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,Date_y,Away Team,Away Team Odds,Away Team Decimal Odds,Away Team Implied Probability,Away Probability,Home Probability,Home Team Implied Probability,Home Team Decimal Odds,Home Team Odds,Home Team
"2023-12-11 - ARI 2, BUF 5","2023-12-11 - ARI, BUF",2023-12-11,ARI,2,BUF,5,Won,2023-12-11,ARI,105.0,2.05,0.49,0.460892698709446,0.5391073012905541,0.56,1.77,-130.0,BUF
"2023-12-11 - TOR 3, NYI 4","2023-12-11 - TOR, NYI",2023-12-11,TOR,3,NYI,4,Won,2023-12-11,TOR,-120.0,1.83,0.55,0.4801156229099461,0.5198843770900539,0.5,2.0,100.0,NYI
"2023-12-11 - DET 3, DAL 6","2023-12-11 - DET, DAL",2023-12-11,DET,3,DAL,6,Won,2023-12-11,DET,170.0,2.7,0.37,0.4426397759384406,0.5573602240615594,0.68,1.48,-210.0,DAL
"2023-12-11 - CGY 5, COL 6","2023-12-11 - CGY, COL",2023-12-11,CGY,5,COL,6,Won,2023-12-11,CGY,145.0,2.45,0.41,0.4922605584662656,0.5077394415337343,0.64,1.57,-175.0,COL
"2023-12-12 - TOR 7, NYR 3","2023-12-12 - TOR, NYR",2023-12-12,TOR,7,NYR,3,Lost,2023-12-12,TOR,145.0,2.45,0.41,0.4543855478551429,0.5456144521448572,0.64,1.57,-175.0,NYR
"2023-12-12 - CAR 4, OTT 1","2023-12-12 - CAR, OTT",2023-12-12,CAR,4,OTT,1,Lost,2023-12-12,CAR,-135.0,1.74,0.57,0.4498097650185487,0.5501902349814515,0.48,2.1,110.0,OTT
"2023-12-12 - ARI 2, PIT 4","2023-12-12 - ARI, PIT",2023-12-12,ARI,2,PIT,4,Won,2023-12-12,ARI,155.0,2.55,0.39,0.44295276033482,0.55704723966518,0.65,1.53,-190.0,PIT
"2023-12-12 - PHI 2, NSH 3","2023-12-12 - PHI, NSH",2023-12-12,PHI,2,NSH,3,Won,2023-12-12,PHI,110.0,2.1,0.48,0.4836823465461988,0.5163176534538011,0.57,1.74,-135.0,NSH
"2023-12-12 - DET 6, STL 4","2023-12-12 - DET, STL",2023-12-12,DET,6,STL,4,Lost,2023-12-12,DET,110.0,2.1,0.48,0.4376730162958333,0.5623269837041667,,,,STL
"2023-12-12 - CHI 1, EDM 4","2023-12-12 - CHI, EDM",2023-12-12,CHI,1,EDM,4,Won,2023-12-12,CHI,375.0,4.75,0.21,0.4372475882030522,0.5627524117969479,0.83,1.2,-500.0,EDM
"2023-12-12 - FLA 0, SEA 4","2023-12-12 - FLA, SEA",2023-12-12,FLA,0,SEA,4,Won,2023-12-12,FLA,-165.0,1.61,0.62,0.4615669819648509,0.538433018035149,0.42,2.4,140.0,SEA
"2023-12-12 - TB 1, VAN 4","2023-12-12 - TB, VAN",2023-12-12,TB,1,VAN,4,Won,2023-12-12,TB,110.0,2.1,0.48,0.4611373056172689,0.538862694382731,0.56,1.77,-130.0,VAN
"2023-12-12 - CGY 4, VGK 5","2023-12-12 - CGY, VGK",2023-12-12,CGY,4,VGK,5,Won,2023-12-12,CGY,155.0,2.55,0.39,0.4409872964825426,0.5590127035174574,0.65,1.53,-190.0,VGK
"2023-12-12 - WPG 1, SJ 2","2023-12-12 - WPG, SJ",2023-12-12,WPG,1,SJ,2,Won,2023-12-12,WPG,-225.0,1.44,0.69,0.5364057421549885,0.4635942578450116,0.36,2.8,180.0,SJ
"2023-12-13 - PIT 4, MTL 3","2023-12-13 - PIT, MTL",2023-12-13,PIT,4,MTL,3,Lost,2023-12-13,PIT,-150.0,1.67,0.6,0.5395358955102838,0.4604641044897162,0.44,2.25,125.0,MTL
"2023-12-13 - BOS 1, NJ 2","2023-12-13 - BOS, NJ",2023-12-13,BOS,1,NJ,2,Won,2023-12-13,BOS,100.0,2.0,0.5,0.4174117711873385,0.5825882288126615,0.55,1.83,-120.0,NJ
"2023-12-13 - ANA 3, NYI 4","2023-12-13 - ANA, NYI",2023-12-13,ANA,3,NYI,4,Won,2023-12-13,ANA,165.0,2.65,0.38,0.5182988714009698,0.4817011285990303,0.67,1.5,-200.0,NYI
"2023-12-13 - BUF 1, COL 5","2023-12-13 - BUF, COL",2023-12-13,BUF,1,COL,5,Won,2023-12-13,BUF,150.0,2.5,0.4,0.4483568902138381,0.5516431097861619,0.65,1.54,-185.0,COL
"2023-12-13 - WPG 5, LA 2","2023-12-13 - WPG, LA",2023-12-13,WPG,5,LA,2,Lost,2023-12-13,WPG,150.0,2.5,0.4,0.4505609950385402,0.5494390049614596,0.65,1.54,-185.0,LA
"2023-12-14 - CAR 2, DET 1","2023-12-14 - CAR, DET",2023-12-14,CAR,2,DET,1,Lost,2023-12-14,CAR,-175.0,1.57,0.64,0.5,0.5,0.41,2.45,145.0,DET
"2023-12-14 - CAR 2, DET 1","2023-12-14 - CAR, DET",2023-12-14,CAR,2,DET,1,Lost,2023-12-14,CAR,-175.0,1.57,0.64,0.5,0.5,0.41,2.45,145.0,DET
"2023-12-14 - WSH 3, PHI 4","2023-12-14 - WSH, PHI",2023-12-14,WSH,3,PHI,4,Won,2023-12-14,WSH,110.0,2.1,0.48,0.4474378766061307,0.5525621233938692,0.57,1.74,-135.0,PHI
"2023-12-14 - CBJ 6, TOR 5","2023-12-14 - CBJ, TOR",2023-12-14,CBJ,6,TOR,5,Lost,2023-12-14,CBJ,200.0,3.0,0.33,0.4320312432143494,0.5679687567856506,0.71,1.4,-250.0,TOR
"2023-12-14 - CGY 2, MIN 3","2023-12-14 - CGY, MIN",2023-12-14,CGY,2,MIN,3,Won,2023-12-14,CGY,120.0,2.2,0.45,0.4778236653414594,0.5221763346585405,0.59,1.69,-145.0,MIN
"2023-12-14 - OTT 2, STL 4","2023-12-14 - OTT, STL",2023-12-14,OTT,2,STL,4,Won,2023-12-14,OTT,-120.0,1.83,0.55,0.4572988514294346,0.5427011485705654,,,,STL
"2023-12-14 - OTT 2, STL 4","2023-12-14 - OTT, STL",2023-12-14,OTT,2,STL,4,Won,2023-12-14,OTT,170.0,2.7,0.37,0.4572988514294346,0.5427011485705654,,,,STL
"2023-12-14 - TB 7, EDM 4","2023-12-14 - TB, EDM",2023-12-14,TB,7,EDM,4,Lost,2023-12-14,TB,140.0,2.4,0.42,0.4332526046221667,0.5667473953778331,0.62,1.61,-165.0,EDM
"2023-12-14 - CHI 1, SEA 7","2023-12-14 - CHI, SEA",2023-12-14,CHI,1,SEA,7,Won,2023-12-14,CHI,195.0,2.95,0.34,0.4563091842856669,0.5436908157143329,0.71,1.4,-250.0,SEA
"2023-12-14 - FLA 0, VAN 4","2023-12-14 - FLA, VAN",2023-12-14,FLA,0,VAN,4,Won,2023-12-14,FLA,-125.0,1.8,0.56,0.5476747058129933,0.4523252941870068,0.49,2.05,105.0,VAN
"2023-12-15 - NSH 6, CAR 5","2023-12-15 - NSH, CAR",2023-12-15,NSH,6,CAR,5,Lost,2023-12-15,NSH,135.0,2.35,0.43,0.4325908333107476,0.5674091666892523,0.62,1.62,-160.0,CAR
"2023-12-15 - NSH 6, CAR 5","2023-12-15 - NSH, CAR",2023-12-15,NSH,6,CAR,5,Lost,2023-12-15,NSH,-130.0,1.77,0.56,0.4325908333107476,0.5674091666892523,0.62,1.62,-160.0,CAR
"2023-12-15 - ANA 1, NYR 5","2023-12-15 - ANA, NYR",2023-12-15,ANA,1,NYR,5,Won,2023-12-15,ANA,275.0,3.75,0.27,0.4455634193145337,0.5544365806854663,0.78,1.29,-350.0,NYR
"2023-12-15 - ANA 1, NYR 5","2023-12-15 - ANA, NYR",2023-12-15,ANA,1,NYR,5,Won,2023-12-15,ANA,275.0,3.75,0.27,0.4455634193145337,0.5544365806854663,0.49,2.05,105.0,NYR
"2023-12-15 - BOS 5, NYI 4","2023-12-15 - BOS, NYI",2023-12-15,BOS,5,NYI,4,Lost,2023-12-15,BOS,-125.0,1.8,0.56,0.5,0.5,0.49,2.05,105.0,NYI
"2023-12-15 - BOS 5, NYI 4","2023-12-15 - BOS, NYI",2023-12-15,BOS,5,NYI,4,Lost,2023-12-15,BOS,-125.0,1.8,0.56,0.5,0.5,0.58,1.71,-140.0,NYI
"2023-12-15 - BOS 5, NYI 4","2023-12-15 - BOS, NYI",2023-12-15,BOS,5,NYI,4,Lost,2023-12-15,BOS,-125.0,1.8,0.56,0.5,0.5,0.49,2.05,105.0,NYI
"2023-12-15 - BOS 5, NYI 4","2023-12-15 - BOS, NYI",2023-12-15,BOS,5,NYI,4,Lost,2023-12-15,BOS,-125.0,1.8,0.56,0.5,0.5,0.58,1.71,-140.0,NYI
"2023-12-15 - OTT 4, DAL 5","2023-12-15 - OTT, DAL",2023-12-15,OTT,4,DAL,5,Won,2023-12-15,OTT,170.0,2.7,0.37,0.4906085970916513,0.5093914029083486,0.68,1.48,-210.0,DAL
"2023-12-15 - OTT 4, DAL 5","2023-12-15 - OTT, DAL",2023-12-15,OTT,4,DAL,5,Won,2023-12-15,OTT,170.0,2.7,0.37,0.4906085970916513,0.5093914029083486,0.58,1.71,-140.0,DAL
"2023-12-15 - SJ 0, ARI 1","2023-12-15 - SJ, ARI",2023-12-15,SJ,0,ARI,1,Won,2023-12-15,SJ,165.0,2.65,0.38,0.4399421534218057,0.5600578465781941,0.67,1.5,-200.0,ARI
"2023-12-15 - SJ 0, ARI 1","2023-12-15 - SJ, ARI",2023-12-15,SJ,0,ARI,1,Won,2023-12-15,SJ,165.0,2.65,0.38,0.4399421534218057,0.5600578465781941,0.56,1.8,-125.0,ARI
"2023-12-15 - BUF 5, VGK 2","2023-12-15 - BUF, VGK",2023-12-15,BUF,5,VGK,2,Lost,2023-12-15,BUF,170.0,2.7,0.37,0.4177436576221097,0.5822563423778904,0.68,1.48,-210.0,VGK
"2023-12-15 - BUF 5, VGK 2","2023-12-15 - BUF, VGK",2023-12-15,BUF,5,VGK,2,Lost,2023-12-15,BUF,105.0,2.05,0.49,0.4177436576221097,0.5822563423778904,0.68,1.48,-210.0,VGK
"2023-12-18 - ANA 4, DET 3","2023-12-18 - ANA, DET",2023-12-18,ANA,4,DET,3,Lost,2023-12-18,ANA,200.0,3.0,0.33,0.5298439080360168,0.4701560919639832,0.71,1.4,-250.0,DET
"2023-12-18 - MIN 3, PIT 4","2023-12-18 - MIN, PIT",2023-12-18,MIN,3,PIT,4,Won,2023-12-18,MIN,-105.0,1.95,0.51,0.4883343224711872,0.5116656775288129,0.53,1.87,-115.0,PIT
"2023-12-18 - MIN 3, PIT 4","2023-12-18 - MIN, PIT",2023-12-18,MIN,3,PIT,4,Won,2023-12-18,MIN,155.0,2.55,0.39,0.4883343224711872,0.5116656775288129,0.53,1.87,-115.0,PIT
"2023-12-18 - MTL 3, WPG 2","2023-12-18 - MTL, WPG",2023-12-18,MTL,3,WPG,2,Lost,2023-12-18,MTL,200.0,3.0,0.33,0.4623425895394137,0.5376574104605863,0.71,1.4,-250.0,WPG
"2023-12-18 - SEA 3, DAL 4","2023-12-18 - SEA, DAL",2023-12-18,SEA,3,DAL,4,Won,2023-12-18,SEA,155.0,2.55,0.39,0.5333803762525978,0.4666196237474018,0.65,1.53,-190.0,DAL
"2023-12-18 - FLA 1, CGY 3","2023-12-18 - FLA, CGY",2023-12-18,FLA,1,CGY,3,Won,2023-12-18,FLA,-125.0,1.8,0.56,0.4829068061118459,0.5170931938881541,0.49,2.05,105.0,CGY
"2023-12-19 - MIN 4, BOS 3","2023-12-19 - MIN, BOS",2023-12-19,MIN,4,BOS,3,Lost,2023-12-19,MIN,170.0,2.7,0.37,0.4781356780463655,0.5218643219536345,0.68,1.48,-210.0,BOS
"2023-12-19 - CBJ 9, BUF 4","2023-12-19 - CBJ, BUF",2023-12-19,CBJ,9,BUF,4,Lost,2023-12-19,CBJ,155.0,2.55,0.39,0.4027880600844634,0.5972119399155366,0.65,1.53,-190.0,BUF
"2023-12-19 - VGK 3, CAR 6","2023-12-19 - VGK, CAR",2023-12-19,VGK,3,CAR,6,Won,2023-12-19,VGK,110.0,2.1,0.48,0.4441076867086926,0.5558923132913075,0.57,1.74,-135.0,CAR
"2023-12-19 - PHI 3, NJ 2","2023-12-19 - PHI, NJ",2023-12-19,PHI,3,NJ,2,Lost,2023-12-19,PHI,140.0,2.4,0.42,0.4664764038478506,0.5335235961521493,0.62,1.61,-165.0,NJ
"2023-12-19 - STL 1, TB 6","2023-12-19 - STL, TB",2023-12-19,STL,1,TB,6,Won,2023-12-19,STL,,,,0.4486061243380075,0.5513938756619925,0.64,1.57,-175.0,TB
"2023-12-19 - NYR 5, TOR 2","2023-12-19 - NYR, TOR",2023-12-19,NYR,5,TOR,2,Lost,2023-12-19,NYR,-115.0,1.87,0.53,0.4690099482534431,0.5309900517465569,0.51,1.95,-105.0,TOR
"2023-12-19 - EDM 1, NYI 3","2023-12-19 - EDM, NYI",2023-12-19,EDM,1,NYI,3,Won,2023-12-19,EDM,-150.0,1.67,0.6,0.4894407726985008,0.5105592273014992,0.44,2.25,125.0,NYI
"2023-12-19 - VAN 5, NSH 2","2023-12-19 - VAN, NSH",2023-12-19,VAN,5,NSH,2,Lost,2023-12-19,VAN,105.0,2.05,0.49,0.4549232967104327,0.5450767032895671,0.56,1.8,-125.0,NSH
"2023-12-19 - COL 2, CHI 3","2023-12-19 - COL, CHI",2023-12-19,COL,2,CHI,3,Won,2023-12-19,COL,-225.0,1.44,0.69,0.5141810244548424,0.4858189755451575,0.35,2.85,185.0,CHI
"2023-12-19 - OTT 3, ARI 4","2023-12-19 - OTT, ARI",2023-12-19,OTT,3,ARI,4,Won,2023-12-19,OTT,-125.0,1.8,0.56,0.4889858594780162,0.5110141405219837,0.49,2.05,105.0,ARI
"2023-12-19 - LA 4, SJ 1","2023-12-19 - LA, SJ",2023-12-19,LA,4,SJ,1,Lost,2023-12-19,LA,-250.0,1.4,0.71,0.5158567853315439,0.4841432146684561,0.33,3.0,200.0,SJ
"2023-12-20 - DET 2, WPG 5","2023-12-20 - DET, WPG",2023-12-20,DET,2,WPG,5,Won,2023-12-20,DET,125.0,2.25,0.44,0.4229180281292717,0.5770819718707284,0.61,1.65,-155.0,WPG
"2023-12-20 - NYI 2, WSH 3","2023-12-20 - NYI, WSH",2023-12-20,NYI,2,WSH,3,Won,2023-12-20,NYI,105.0,2.05,0.49,0.42595025126581,0.57404974873419,0.56,1.8,-125.0,WSH
"2023-12-20 - SEA 2, LA 1","2023-12-20 - SEA, LA",2023-12-20,SEA,2,LA,1,Lost,2023-12-20,SEA,140.0,2.4,0.42,0.4718290387928753,0.5281709612071247,0.62,1.61,-165.0,LA
"2023-12-21 - TOR 3, BUF 9","2023-12-21 - TOR, BUF",2023-12-21,TOR,3,BUF,9,Won,2023-12-21,TOR,-145.0,1.69,0.59,0.466010036921036,0.533989963078964,0.45,2.2,120.0,BUF
"2023-12-21 - WSH 3, CBJ 2","2023-12-21 - WSH, CBJ",2023-12-21,WSH,3,CBJ,2,Lost,2023-12-21,WSH,-115.0,1.87,0.53,0.5462683853280944,0.4537316146719055,0.51,1.95,-105.0,CBJ
"2023-12-21 - STL 4, FLA 1","2023-12-21 - STL, FLA",2023-12-21,STL,4,FLA,1,Lost,2023-12-21,STL,,,,0.423717440883559,0.576282559116441,0.68,1.48,-210.0,FLA
"2023-12-21 - EDM 6, NJ 3","2023-12-21 - EDM, NJ",2023-12-21,EDM,6,NJ,3,Lost,2023-12-21,EDM,-110.0,1.91,0.52,0.4675951610306291,0.532404838969371,0.52,1.91,-110.0,NJ
"2023-12-21 - NSH 4, PHI 2","2023-12-21 - NSH, PHI",2023-12-21,NSH,4,PHI,2,Lost,2023-12-21,NSH,-105.0,1.95,0.51,0.4883928125769953,0.5116071874230046,0.53,1.87,-115.0,PHI
"2023-12-21 - CAR 1, PIT 2","2023-12-21 - CAR, PIT",2023-12-21,CAR,1,PIT,2,Won,2023-12-21,CAR,-135.0,1.74,0.57,0.4882498728187885,0.5117501271812115,0.48,2.1,110.0,PIT
"2023-12-21 - VGK 4, TB 5","2023-12-21 - VGK, TB",2023-12-21,VGK,4,TB,5,Won,2023-12-21,VGK,-105.0,1.95,0.51,0.4538370005410032,0.5461629994589969,0.53,1.87,-115.0,TB
"2023-12-21 - VAN 3, DAL 4","2023-12-21 - VAN, DAL",2023-12-21,VAN,3,DAL,4,Won,2023-12-21,VAN,125.0,2.25,0.44,0.4855550207691096,0.5144449792308903,0.61,1.65,-155.0,DAL
"2023-12-21 - MTL 3, MIN 4","2023-12-21 - MTL, MIN",2023-12-21,MTL,3,MIN,4,Won,2023-12-21,MTL,150.0,2.5,0.4,0.4426695303706268,0.5573304696293732,0.65,1.54,-185.0,MIN
"2023-12-21 - OTT 4, COL 6","2023-12-21 - OTT, COL",2023-12-21,OTT,4,COL,6,Won,2023-12-21,OTT,145.0,2.45,0.41,0.4242552220119744,0.5757447779880255,0.64,1.57,-175.0,COL
"2023-12-21 - CGY 3, ANA 0","2023-12-21 - CGY, ANA",2023-12-21,CGY,3,ANA,0,Lost,2023-12-21,CGY,-175.0,1.57,0.64,0.5,0.5,0.41,2.45,145.0,ANA
"2023-12-21 - ARI 5, SJ 2","2023-12-21 - ARI, SJ",2023-12-21,ARI,5,SJ,2,Lost,2023-12-21,ARI,-155.0,1.65,0.61,0.547113777172513,0.4528862228274869,0.44,2.25,125.0,SJ
"2023-12-22 - PHI 6, DET 7","2023-12-22 - PHI, DET",2023-12-22,PHI,6,DET,7,Won,2023-12-22,PHI,115.0,2.15,0.47,0.492489502249378,0.507510497750622,0.57,1.74,-135.0,DET
"2023-12-22 - EDM 4, NYR 3","2023-12-22 - EDM, NYR",2023-12-22,EDM,4,NYR,3,Lost,2023-12-22,EDM,115.0,2.15,0.47,0.455887044470344,0.544112955529656,0.58,1.71,-140.0,NYR
"2023-12-22 - BOS 1, WPG 5","2023-12-22 - BOS, WPG",2023-12-22,BOS,1,WPG,5,Won,2023-12-22,BOS,-125.0,1.8,0.56,0.4571909072587764,0.5428090927412235,0.49,2.05,105.0,WPG
"2023-12-22 - MTL 5, CHI 2","2023-12-22 - MTL, CHI",2023-12-22,MTL,5,CHI,2,Lost,2023-12-22,MTL,-105.0,1.95,0.51,0.5138073165025431,0.4861926834974568,0.53,1.87,-115.0,CHI
"2023-12-23 - VGK 2, FLA 4","2023-12-23 - VGK, FLA",2023-12-23,VGK,2,FLA,4,Won,2023-12-23,VGK,115.0,2.15,0.47,0.4288468068631209,0.5711531931368791,0.57,1.74,-135.0,FLA
"2023-12-23 - DAL 3, NSH 2","2023-12-23 - DAL, NSH",2023-12-23,DAL,3,NSH,2,Lost,2023-12-23,DAL,-130.0,1.77,0.56,0.4673323828420328,0.5326676171579671,0.48,2.1,110.0,NSH
"2023-12-23 - NYI 5, CAR 4","2023-12-23 - NYI, CAR",2023-12-23,NYI,5,CAR,4,Lost,2023-12-23,NYI,145.0,2.45,0.41,0.426564696651303,0.5734353033486971,0.64,1.57,-175.0,CAR
"2023-12-23 - TOR 4, CBJ 1","2023-12-23 - TOR, CBJ",2023-12-23,TOR,4,CBJ,1,Lost,2023-12-23,TOR,-225.0,1.44,0.69,0.4921306259531357,0.5078693740468642,0.36,2.8,180.0,CBJ
"2023-12-23 - BOS 2, MIN 3","2023-12-23 - BOS, MIN",2023-12-23,BOS,2,MIN,3,Won,2023-12-23,BOS,-130.0,1.77,0.56,0.4493818457389628,0.5506181542610371,0.48,2.1,110.0,MIN
"2023-12-23 - DET 2, NJ 3","2023-12-23 - DET, NJ",2023-12-23,DET,2,NJ,3,Won,2023-12-23,DET,155.0,2.55,0.39,0.4008923777692055,0.5991076222307944,0.65,1.53,-190.0,NJ
"2023-12-23 - PIT 4, OTT 5","2023-12-23 - PIT, OTT",2023-12-23,PIT,4,OTT,5,Won,2023-12-23,PIT,-105.0,1.95,0.51,0.4592421013514282,0.5407578986485718,0.53,1.87,-115.0,OTT
"2023-12-23 - TB 2, WSH 1","2023-12-23 - TB, WSH",2023-12-23,TB,2,WSH,1,Lost,2023-12-23,TB,-145.0,1.69,0.59,0.4724914873793099,0.52750851262069,0.45,2.2,120.0,WSH
"2023-12-23 - BUF 3, NYR 4","2023-12-23 - BUF, NYR",2023-12-23,BUF,3,NYR,4,Won,2023-12-23,BUF,145.0,2.45,0.41,0.4347985308807521,0.5652014691192481,0.64,1.57,-175.0,NYR
"2023-12-23 - SEA 3, ANA 2","2023-12-23 - SEA, ANA",2023-12-23,SEA,3,ANA,2,Lost,2023-12-23,SEA,-140.0,1.71,0.58,0.5250468771568104,0.4749531228431896,0.45,2.2,120.0,ANA
"2023-12-23 - CHI 5, STL 7","2023-12-23 - CHI, STL",2023-12-23,CHI,5,STL,7,Won,2023-12-23,CHI,220.0,3.2,0.31,0.4308979817725822,0.5691020182274179,,,,STL
"2023-12-23 - ARI 1, COL 4","2023-12-23 - ARI, COL",2023-12-23,ARI,1,COL,4,Won,2023-12-23,ARI,180.0,2.8,0.36,0.436357142154115,0.5636428578458847,0.69,1.44,-225.0,COL
"2023-12-23 - CGY 3, LA 5","2023-12-23 - CGY, LA",2023-12-23,CGY,3,LA,5,Won,2023-12-23,CGY,130.0,2.3,0.43,0.442473418380841,0.5575265816191589,0.61,1.65,-155.0,LA
"2023-12-23 - SJ 4, VAN 7","2023-12-23 - SJ, VAN",2023-12-23,SJ,4,VAN,7,Won,2023-12-23,SJ,240.0,3.4,0.29,0.4056870324730091,0.5943129675269909,0.75,1.33,-300.0,VAN
"2023-12-27 - CBJ 3, NJ 4","2023-12-27 - CBJ, NJ",2023-12-27,CBJ,3,NJ,4,Won,2023-12-27,CBJ,200.0,3.0,0.33,0.3728144661093753,0.6271855338906246,0.71,1.4,-250.0,NJ
"2023-12-27 - WSH 1, NYR 5","2023-12-27 - WSH, NYR",2023-12-27,WSH,1,NYR,5,Won,2023-12-27,WSH,180.0,2.8,0.36,0.4586224351524176,0.5413775648475825,0.69,1.44,-225.0,NYR
