a_days_of_rest,a_CA,a_CF,a_FA,a_FF,a_GA,a_GF,a_HDCA,a_HDCF,a_HDGA,a_HDGF,a_HDSA,a_HDSF,a_LDCA,a_LDCF,a_LDGA,a_LDGF,a_LDSA,a_LDSF,a_MDCA,a_MDCF,a_MDGA,a_MDGF,a_MDSA,a_MDSF,a_PDO,a_SA,a_SCA,a_SCF,a_SF,a_xGA,a_xGF,h_days_of_rest,h_CA,h_CF,h_FA,h_FF,h_GA,h_GF,h_HDCA,h_HDCF,h_HDGA,h_HDGF,h_HDSA,h_HDSF,h_LDCA,h_LDCF,h_LDGA,h_LDGF,h_LDSA,h_LDSF,h_MDCA,h_MDCF,h_MDGA,h_MDGF,h_MDSA,h_MDSF,h_PDO,h_SA,h_SCA,h_SCF,h_SF,h_xGA,h_xGF,Game
1.0,65.7,66.2,46.8,46.5,3.4,2.1,11.0,12.7,1.5,0.6,6.9,8.0,41.1,38.2,0.9,0.4,15.7,13.8,18.7,20.1,0.9,1.1,7.8,8.9,0.9589,32.1,29.7,32.8,31.9,3.062,3.245,2.0,59.8,55.1,42.1,40.9,2.8,3.2,10.2,13.4,1.9,1.5,6.7,9.0,37.3,28.5,0.3,0.6,12.5,9.5,17.5,15.0,0.5,1.1,7.3,7.1,1.0136999999999998,28.6,27.7,28.4,27.8,2.685,3.034,"2024-03-19 - OTT, BOS"
1.0,64.5,66.5,46.4,45.7,3.1,2.8,14.5,10.4,1.5,1.2,9.2,6.1,39.5,39.1,0.7,0.6,15.8,14.4,17.0,20.3,0.9,1.0,7.6,9.2,0.9962,33.9,31.5,30.7,31.7,3.537,3.282,1.0,67.7,55.5,48.4,40.0,4.6,2.7,13.3,9.2,2.2,1.3,9.3,6.7,36.9,36.1,0.6,0.4,12.6,11.3,20.2,15.5,1.6,1.0,9.5,6.7,0.9586,32.9,33.5,24.7,26.7,3.59,2.698,"2024-03-19 - CBJ, DET"
1.0,63.7,67.2,46.7,48.5,4.3,2.7,12.3,13.4,2.6,1.4,8.2,9.3,36.1,39.9,0.9,0.8,12.6,14.8,19.1,18.7,0.8,0.5,9.2,8.7,0.9346,31.3,31.4,32.1,34.5,3.515000000000001,3.651,1.0,58.3,63.5,43.0,45.4,3.3,2.9,11.1,12.2,1.1,1.2,7.6,8.3,36.2,39.3,0.8,1.0,13.2,14.5,16.8,16.4,1.2,0.7,6.4,6.9,0.981,29.0,27.9,28.6,31.1,3.457,3.174,"2024-03-19 - PIT, NJ"
1.0,57.0,57.4,41.7,43.7,2.3,3.4,12.0,11.2,1.0,1.7,7.0,7.1,34.0,38.0,0.2,0.6,11.9,14.4,15.3,13.8,1.0,1.1,7.7,6.9,1.0334,28.1,27.3,25.0,30.3,2.878,2.936,1.0,62.7,65.5,44.7,48.3,2.5,3.4,12.7,11.7,1.0,1.2,8.4,7.3,35.8,38.6,0.6,0.8,12.5,13.9,15.9,19.2,0.9,1.3,7.5,9.0,1.0323,30.3,28.6,30.9,30.9,3.366,3.5540000000000007,"2024-03-19 - WPG, NYR"
2.0,63.3,60.4,46.3,44.5,3.1,3.0,12.3,13.3,1.5,1.8,7.9,8.5,37.8,35.7,0.4,0.4,13.3,12.3,17.6,14.8,1.1,0.7,8.3,7.6,0.9991,30.4,29.9,28.1,30.3,3.346,3.297,2.0,61.2,60.8,39.3,43.9,3.9,3.1,12.6,9.2,2.3,1.2,7.9,6.3,35.9,39.3,0.6,0.3,11.4,13.4,15.6,16.7,1.0,1.3,6.0,9.2,0.9626,26.8,28.2,25.9,30.6,3.001,2.889,"2024-03-19 - TOR, PHI"
1.0,52.5,70.9,40.0,52.0,2.1,4.0,10.8,13.7,0.5,1.8,6.9,8.2,30.7,45.2,0.7,1.0,10.8,16.4,13.5,17.1,0.9,1.0,6.8,7.6,1.0405,27.1,24.3,30.8,34.2,2.921,3.631,1.0,56.3,55.0,39.5,38.9,2.7,3.5,7.6,9.9,1.0,1.8,4.9,6.2,35.4,34.7,0.3,0.8,13.9,12.5,15.3,14.7,1.4,0.9,6.9,6.6,1.0332,27.2,22.9,24.6,27.3,2.447,2.847,"2024-03-19 - CAR, NYI"
1.0,66.9,58.4,48.8,41.1,4.5,2.8,11.0,11.5,1.7,1.8,6.5,7.2,44.7,35.6,1.0,0.4,15.0,11.5,19.5,14.8,1.8,0.6,9.8,6.1,0.9767,32.8,30.5,26.3,26.1,3.4170000000000003,2.842,2.0,53.8,65.2,38.4,48.1,1.9,3.9,9.1,11.8,0.8,1.6,6.1,7.4,32.4,41.1,0.3,1.0,13.3,15.6,15.3,17.6,0.7,1.1,8.0,8.1,1.0599,29.3,24.4,29.4,33.0,2.515,3.224,"2024-03-19 - SJ, NSH"
2.0,56.6,70.2,42.2,49.4,2.0,4.1,11.1,15.0,1.2,2.0,8.2,10.4,36.5,39.8,0.3,0.7,13.9,14.5,13.6,20.7,0.4,1.4,6.5,9.7,1.0457,30.1,24.7,35.7,36.1,2.813,3.2950000000000004,1.0,67.5,53.8,47.6,38.8,2.3,2.3,15.2,9.1,1.5,1.2,9.3,6.5,39.4,36.1,0.4,0.4,14.8,13.2,17.0,13.4,0.4,0.5,7.9,5.9,1.017,33.4,32.2,22.5,27.3,3.2510000000000003,2.695,"2024-03-19 - COL, STL"
2.0,68.7,52.9,47.1,38.8,2.9,2.6,14.2,10.2,2.0,1.0,9.1,7.1,37.8,31.3,0.1,0.6,11.8,12.1,19.6,14.0,0.8,0.9,8.5,6.2,0.9983999999999998,31.4,33.8,24.2,27.5,3.468,2.662,2.0,59.4,62.6,44.4,45.5,1.8,3.4,11.8,14.1,0.8,2.0,7.5,9.2,34.6,35.1,0.1,0.9,14.3,13.6,16.7,16.9,0.9,0.5,8.4,7.8,1.0433,31.7,28.5,31.0,32.9,2.918,3.151,"2024-03-19 - MTL, EDM"
2.0,57.3,61.1,39.3,43.9,2.5,2.6,9.3,11.3,1.2,1.0,5.9,6.5,35.4,38.7,0.4,0.4,12.0,14.0,16.4,15.5,0.8,0.9,8.1,6.9,0.9938,27.2,25.7,26.8,29.5,2.455,3.067,1.0,64.5,48.7,45.8,34.3,4.1,2.0,14.7,7.9,2.1,0.9,9.8,4.8,39.6,31.7,1.0,0.4,13.8,10.7,18.6,12.7,1.0,0.7,7.6,6.0,0.9437,32.6,33.3,20.6,23.1,3.4799999999999995,2.043,"2024-03-19 - MIN, ANA"
1.0,60.8,61.7,44.2,45.2,3.7,2.9,10.7,13.3,1.8,1.7,7.9,8.8,34.8,37.8,0.9,0.6,14.2,14.0,19.3,16.0,1.0,0.5,8.6,8.1,0.9732999999999998,32.6,30.0,29.3,32.0,2.855,3.659,2.0,61.5,55.7,42.5,41.2,2.2,2.8,9.0,9.6,0.8,1.5,5.7,6.6,41.2,37.3,0.5,0.8,15.1,14.2,16.4,14.1,0.7,0.5,7.6,5.6,1.037,30.2,25.4,23.7,28.1,2.642,2.575,"2024-03-19 - CHI, LA"
0.0,52.8,57.8,40.0,40.8,2.6,3.5,11.2,9.2,1.7,1.0,7.1,5.6,31.3,34.7,0.3,1.0,11.3,13.1,13.0,17.4,0.6,1.5,6.3,9.4,1.0193,27.0,24.2,26.6,28.9,2.923,2.6060000000000003,2.0,51.9,60.8,39.0,43.9,2.5,2.5,9.9,12.8,1.6,1.4,6.6,8.0,34.9,41.3,0.4,0.5,12.7,13.8,12.2,14.0,0.5,0.6,5.6,6.4,0.9902,26.3,22.1,26.8,29.6,2.446,2.628,"2024-03-19 - BUF, VAN"
2.0,57.1,54.5,40.2,37.6,3.2,3.9,10.4,9.8,1.3,1.7,6.5,6.6,33.0,32.4,0.4,0.6,12.4,10.5,16.4,14.8,1.2,1.6,8.2,5.8,1.0485,28.9,26.8,24.6,24.7,3.005,2.741,1.0,66.4,66.8,45.4,46.3,3.8,3.3,10.9,11.6,1.4,1.3,7.1,8.1,40.0,41.6,0.7,0.4,13.6,14.8,19.4,18.1,1.6,1.4,9.2,7.8,0.9814,31.2,30.3,29.7,32.4,2.914,3.0620000000000003,"2024-03-19 - TB, VGK"
